"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"115996","11000UQ153PS201912150688","UQT200","UQT290"," ","UQT290","11000URZ000000001531"," ","기타 공원시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","978.56780012","120.80232147"
"115997","11000UQ153PS201912150689","UQT200","UQT205"," ","UQT205","11000URZ201002251655","11000NTC201002254565","소공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","989.76437263","129.51153198"
"115998","11000UQ153PS201912150690","UQT200","UQT220"," ","UQT220","11000URZ000000001531"," ","근린공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1578.94057944","172.58814660"
"115999","11000UQ153PS201912150691","UQT200","UQT210"," ","UQT210","11000URZ200502056132","11000NTC200502057682","어린이공원(아동공원)","11000"," ","EMA0009","2019-12-15 00:00:00.0","1758.73542893","202.52107486"
"116000","11000UQ153PS201912150693","UQT200","UQT220"," ","UQT220","11000URZ000000001531"," ","근린공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","40188.44662320","1336.49821933"
"116001","11000UQ153PS201912150694","UQT200","UQT205"," ","UQT205","11000URZ200909281993","11000NTC200909283894","소공원","11000","1","EMA0009","2019-12-15 00:00:00.0","1301.15087029","156.26911563"
"116002","11000UQ153PS201912150695","UQT200","UQT210"," ","UQT210","11000URZ000000001531"," ","어린이공원(아동공원)","11000"," ","EMA0009","2019-12-15 00:00:00.0","1561.95664111","158.32541414"
"116003","11000UQ153PS201912151413","UQT200","UQT210"," ","UQT210","11000URZ199807286698","11000NTC199807288135","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1500.11830490","159.91696605"
"116004","11000UQ153PS201912151414","UQT200","UQT290"," ","UQT290","11000URZ000000001531"," ","청룡공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","852.62755974","115.54869682"
"116005","11000UQ153PS201912151415","UQT200","UQT220"," ","UQT220","11000URZ000000001531"," ","근린공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","2220.00000000","208.00000000"
"116006","11000UQ153PS201912151416","UQT200","UQT210"," ","UQT210","11000URZ201510019471","11000NTC201510017606","공원(개포19)","11000","13","EMA0009","2019-12-15 00:00:00.0","1650.30191465","164.48223021"
"116007","11000UQ153PS201912151417","UQT200","UQT210"," ","UQT210","11000URZ200807108813","11000NTC200807102047","공원1","11000"," ","EMA0009","2019-12-15 00:00:00.0","4185.92584442","254.91762362"
"116008","11000UQ153PS201912151418","UQT200","UQT205"," ","UQT205","11000URZ201311075525","11000NTC201311076987","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1098.72111073","133.23752759"
"116009","11000UQ153PS201912154300","UQT500","UQT510"," ","UQT510","11000URZ200104110479","11000NTC200104110485","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","350.50703957","79.26380895"
"116010","11000UQ153PS201912154301","UQT500","UQT510"," ","UQT510","11000URZ199904098650","11000NTC199904098657","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","122.39325039","48.18158663"
"116011","11000UQ153PS201912154302","UQT500","UQT510"," ","UQT510","11000URZ200311159493","11000NTC200311155205","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","689.68078425","134.16289118"
"116012","11000UQ153PS201912154303","UQT500","UQT510"," ","UQT510","11000URZ200206224257","11000NTC200206222742","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","140.67379260","52.55178871"
"116013","11000UQ153PS201912154305","UQT500","UQT510"," ","UQT510","11000URZ200007109197","11000NTC200007109716","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","834.70091306","165.47788900"
