DGM_NM,gid
초등학교(국민학교),다사403505
초등학교(국민학교),다사402505
초등학교(국민학교),다사402506
성일초등학교,다사672478
성일초등학교,다사670478
성일초등학교,다사672477
성일초등학교,다사670477
성일초등학교,다사671478
성일초등학교,다사671477
성일초등학교,다사671479
일원초등학교,다사625434
일원초등학교,다사625433
일원초등학교,다사625435
일원초등학교,다사624434
일원초등학교,다사626434
"서울가양초등학교, 경서중학교",다사434516
"서울가양초등학교, 경서중학교",다사433516
"서울가양초등학교, 경서중학교",다사434515
"서울가양초등학교, 경서중학교",다사432514
"서울가양초등학교, 경서중학교",다사433514
"서울가양초등학교, 경서중학교",다사432515
"서울가양초등학교, 경서중학교",다사434514
"서울가양초등학교, 경서중학교",다사433515
학교,다사527497
학교,다사528498
학교,다사526498
학교,다사527496
학교,다사528497
학교,다사525498
학교,다사527498
학교,다사526496
