번호,광역지자체,시군구, 50키로와트 , 100키로와트 , 100키로와트듀얼 , 200키로와트듀얼 , 300키로와트이상 ,  사용량(키로와트시)  
392,제주,서귀포시,1,0,0,0,0,"63,528"
393,전남,목포시,1,0,0,0,0,"62,994"
394,울산,울주군,3,0,0,0,0,"62,892"
395,광주,광산구,2,0,0,0,0,"62,774"
396,전남,목포시,2,0,0,0,0,"62,762"
397,서울,성북구,2,0,0,0,0,"62,653"
398,경기,가평군,1,0,0,0,0,"62,626"
399,경북,상주시,1,0,0,0,0,"62,586"
400,부산,해운대구,2,0,0,0,0,"61,795"
401,서울,영등포구,1,0,0,0,0,"61,694"
402,서울,도봉구,1,0,0,0,0,"61,692"
403,전남,여수시,2,0,0,0,0,"61,626"
404,서울,성북구,1,0,0,0,0,"61,428"
405,경기,수원시,1,0,0,0,0,"61,211"
406,세종,세종시,1,0,0,0,0,"61,210"
407,경남,창원시,1,0,0,0,0,"61,073"
408,강원,동해시,1,0,0,0,0,"61,063"
409,경기,수원시,1,0,0,0,0,"60,975"
410,경북,영덕군,1,0,0,0,0,"60,746"
411,충북,제천시,1,0,0,0,0,"60,509"
412,서울,양천구,1,0,0,0,0,"60,496"
413,경남,통영시,1,0,0,0,0,"60,407"
414,경기,가평군,1,0,0,0,0,"59,993"
415,충북,청주시,1,0,0,0,0,"59,982"
416,부산,동래구,1,0,0,0,0,"59,961"
417,경남,거제시,1,0,0,0,0,"59,345"
418,경기,양주시,1,0,0,0,0,"59,249"
419,부산,부산진구,0,0,0,0,0,"58,913"
420,제주,서귀포시,2,0,0,0,0,"58,846"
421,서울,성동구,2,0,0,0,0,"58,818"
422,광주,동구,1,0,0,0,0,"58,789"
423,충남,부여군,2,0,0,0,0,"58,603"
424,광주,북구,6,0,0,0,0,"58,488"
425,경남,창원시,1,0,0,0,0,"58,390"
426,제주,제주시,1,0,0,0,0,"58,325"
427,전남,광양시,1,0,0,0,0,"58,274"
428,충북,청주시,1,0,0,0,0,"58,270"
429,서울,금천구,1,0,0,0,0,"58,082"
430,경남,사천시,1,0,0,0,0,"57,961"
431,서울,금천구,1,0,0,0,0,"57,952"
432,강원,양양군,1,0,0,0,0,"57,745"
433,대구,동구,1,0,0,0,0,"57,736"
434,경기,이천시,1,0,0,0,0,"57,553"
435,경기,안성시,1,0,0,0,0,"57,339"
436,인천,계양구,1,0,0,0,0,"56,783"
437,인천,중구,1,0,0,0,0,"56,783"
438,경기,양주시,1,0,0,0,0,"56,774"
439,경남,밀양시,1,0,0,0,0,"56,566"
440,대구,달서구,1,0,0,0,0,"56,486"
441,경남,양산시,1,0,0,0,0,"56,470"
442,경기,용인시,1,0,0,0,0,"56,389"
443,경남,김해시,1,0,0,0,0,"56,124"
444,서울,은평구,1,0,0,0,0,"56,025"
445,경기,용인시,1,0,0,0,0,"55,978"
446,강원,춘천시,1,0,0,0,0,"55,905"
447,충북,단양군,1,0,0,0,0,"55,734"
448,강원,춘천시,1,0,0,0,0,"55,629"
449,경남,창원시,1,0,0,0,0,"55,557"
450,서울,송파구,1,0,0,0,0,"55,399"
451,부산,동래구,1,0,0,0,0,"55,303"
452,경북,구미시,1,0,0,0,0,"55,258"
453,경남,창원시,1,0,0,0,0,"55,248"
454,인천,부평구,1,0,0,0,0,"55,102"
455,서울,송파구,1,0,0,0,0,"54,961"
456,경기,파주시,1,0,0,0,0,"54,930"
457,경북,성주군,2,0,0,0,0,"54,662"
458,제주,서귀포시,2,0,0,0,0,"54,643"
459,전남,나주시,2,0,0,0,0,"54,299"
460,광주,서구,2,0,0,0,0,"53,943"
461,충남,태안군,1,0,0,0,0,"53,825"
462,부산,수영구,1,0,0,0,0,"53,805"
463,경남,창원시,1,0,0,0,0,"53,719"
464,서울,도봉구,1,0,0,0,0,"53,702"
465,경북,경주시,1,0,0,0,0,"53,627"
466,광주,남구,1,0,0,0,0,"53,502"
467,경남,창원시,1,0,0,0,0,"53,386"
468,전북,김제시,1,0,0,0,0,"53,350"
469,대구,동구,1,0,0,0,0,"53,224"
470,서울,서초구,2,0,0,0,0,"53,093"
471,경북,안동시,2,0,0,0,0,"52,893"
472,충북,청주시,1,0,0,0,0,"52,579"
473,경북,상주시,1,0,0,0,0,"52,501"
474,경북,포항시,1,0,0,0,0,"52,371"
475,제주,제주시,10,0,0,0,0,"52,265"
476,대구,동구,2,0,0,0,0,"52,123"
477,전남,여수시,1,1,0,0,0,"52,026"
478,경남,진주시,2,0,0,0,0,"51,798"
479,경북,구미시,1,0,0,0,0,"51,603"
480,대구,북구,1,0,0,0,0,"51,452"
481,서울,종로구,1,0,0,0,0,"51,057"
482,제주,제주시,2,0,0,0,0,"50,770"
483,경남,거창군,2,0,0,0,0,"50,666"
484,경기,용인시,1,0,0,0,0,"50,437"
485,전남,순천시,1,0,0,0,0,"50,404"
486,충북,단양군,1,0,0,0,0,"50,074"
487,전북,군산시,1,0,0,0,0,"49,976"
488,경북,구미시,1,0,0,0,0,"49,470"
489,전남,목포시,1,0,0,0,0,"49,445"
490,전남,순천시,2,0,0,0,0,"49,352"
491,충남,태안군,1,0,0,0,0,"48,886"
492,인천,강화군,1,0,0,0,0,"48,728"
493,서울,구로구,1,0,0,0,0,"48,678"
494,경남,함안군,1,0,0,0,0,"48,494"
495,경남,창원시,1,0,0,0,0,"48,318"
496,강원,강릉시,1,0,0,0,0,"48,230"
497,전북,군산시,1,0,0,0,0,"48,175"
498,제주,서귀포시,1,0,0,0,0,"47,954"
499,경남,양산시,2,0,0,0,0,"47,915"
500,인천,연수구,0,2,0,0,0,"47,729"
501,제주,서귀포시,1,0,0,0,0,"47,264"
502,경남,창원시,1,0,0,0,0,"46,886"
503,경북,구미시,1,0,0,0,0,"46,824"
504,강원,춘천시,1,0,0,0,0,"46,560"
505,제주,제주시,3,1,0,0,0,"46,294"
506,경북,안동시,2,0,0,0,0,"46,219"
507,경기,용인시,1,0,0,0,0,"46,093"
508,경북,경주시,3,0,0,0,0,"45,582"
509,서울,송파구,1,0,0,0,0,"45,490"
510,강원,강릉시,1,0,0,0,0,"45,424"
511,경기,남양주시,1,0,0,0,0,"45,374"
512,경기,포천시,1,0,0,0,0,"45,159"
513,서울,서대문구,1,0,0,0,0,"45,000"
514,강원,원주시,1,0,0,0,0,"44,976"
515,광주,남구,1,0,0,0,0,"44,523"
516,경기,포천시,1,0,0,0,0,"44,444"
517,충북,청주시,1,0,0,0,0,"44,112"
518,경기,연천군,1,0,0,0,0,"44,053"
519,제주,제주시,1,0,0,0,0,"43,940"
520,제주,제주시,2,0,0,0,0,"43,392"
521,서울,용산구,3,0,0,0,0,"43,387"
522,부산,기장군,4,0,0,0,0,"43,097"
523,강원,춘천시,1,0,0,0,0,"43,065"
524,울산,울주군,3,0,0,0,0,"42,860"
525,경남,거제시,1,0,0,0,0,"42,687"
526,경기,광주시,1,1,0,0,0,"42,574"
527,전남,여수시,1,0,0,0,0,"42,561"
528,인천,강화군,1,0,0,0,0,"42,435"
529,경기,용인시,1,0,0,0,0,"42,292"
530,울산,북구,2,0,0,0,0,"42,176"
531,충북,청주시,1,0,0,0,0,"41,862"
532,경기,안산시,1,0,0,0,0,"41,836"
533,대구,달서구,1,0,0,0,0,"41,798"
534,전남,화순군,2,0,0,0,0,"41,743"
535,충북,보은군,1,0,0,0,0,"41,505"
536,충북,충주시,1,0,0,0,0,"41,361"
537,제주,서귀포시,2,0,0,0,0,"41,194"
538,경북,의성군,1,0,0,0,0,"41,097"
