"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"40561","11000UQ152PS201912150791","UQS200","UQS290"," ","UQS290","11000URZ200012049171","11000NTC200012040038","기타주차장시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","664.13282026","103.20568413"
"40562","11200UQ152PS202005140002","UQS200","UQS201"," ","UQS201","11200URZ202001100001","11200NTC202001100001","주차장","11200","1","EMA0009","2020-05-14 00:00:00.0","1896.26165115","261.16439580"
"40563","11000UQ152PS202005200001","UQS200","UQS210"," ","UQS210","11000URZ201711160027","11000NTC201711168338","노외주차장","11000"," ","EMA0009","2020-05-20 00:00:00.0","963.57183600","139.05386374"
"40564","11000UQ152PS202007070001","UQS200","UQS201"," ","UQS201","11680URZ202007060016","11000NTC202007060008","주차장","11000","1","EMA0009","2020-07-07 00:00:00.0","1593.21057452","171.80095364"
"40565","11170UQ152PS202007070001","UQS200","UQS201"," ","UQS201","11170URZ202007020004","11170NTC202007020003","주차장","11170","4","EMA0009","2020-07-07 00:00:00.0","3192.59350447","261.18138758"
"40566","11500UQ152PS202007210001","UQS200","UQS201"," ","UQS201","11500URZ202007210001","11000NTC202007210003","주차장","11500"," ","EMA0009","2020-07-21 00:00:00.0","1490.98048985","184.82578814"
"40567","11000UQ152PS202002050021","UQS200","UQS210"," ","UQS210","11000URZ202001280121","11000NTC202001280023","주차장","11000","3","EMA0009","2020-02-05 00:00:00.0","1163.49652480","136.61811800"
"40568","11000UQ152PS202002050022","UQS200","UQS210"," ","UQS210","11000URZ202001280122","11000NTC202001280023","주차장","11000","5","EMA0009","2020-02-05 00:00:00.0","2064.23594762","183.59506620"
"40569","11000UQ152PS202002050023","UQS200","UQS210"," ","UQS210","11000URZ202001280123","11000NTC202001280023","주차장","11000","8","EMA0009","2020-02-05 00:00:00.0","3444.75946027","271.44843706"
"40570","11000UQ152PS202002050024","UQS200","UQS210"," ","UQS210","11000URZ202001280145","11000NTC202001280023","주차장","11000","1","EMA0009","2020-02-05 00:00:00.0","2835.25761196","253.26843294"
"40571","11000UQ152PS202002050025","UQS200","UQS210"," ","UQS210","11000URZ202001280146","11000NTC202001280023","주차장","11000","4","EMA0009","2020-02-05 00:00:00.0","2205.98390119","191.99585274"
