gid,ADM_DR_NM
다사662562,망우본동
다사642578,신내1동
다사635567,묵1동
다사619553,이문1동
다사636563,상봉1동
다사646578,신내1동
다사647529,면목7동
다사654579,신내1동
다사651545,망우3동
다사637526,면목4동
다사641526,면목4동
다사644534,면목7동
다사621563,이문2동
다사627529,면목4동
다사627536,면목5동
다사659558,망우본동
다사649544,망우3동
다사658578,신내1동
다사621543,휘경2동
다사656564,망우본동
다사647566,신내1동
다사655551,망우본동
다사649579,신내1동
다사653543,망우3동
다사655563,망우본동
다사652536,면목3·8동
다사627528,면목4동
다사634573,묵1동
다사660551,망우본동
다사624537,휘경2동
다사648575,신내1동
다사627525,중곡3동
다사657547,망우3동
다사624536,휘경2동
다사627532,면목5동
다사645534,면목7동
다사621574,묵2동
다사658568,신내1동
다사657571,신내1동
다사634569,신내2동
다사623558,중화2동
다사634568,묵1동
다사639556,상봉1동
다사660554,망우본동
다사638525,면목4동
다사658570,신내1동
다사658555,망우본동
다사662560,망우본동
다사649543,면목3·8동
다사635566,상봉1동
다사650564,신내1동
다사651571,신내1동
다사643539,면목3·8동
다사654564,망우본동
다사662566,망우본동
다사663564,망우본동
다사649537,면목3·8동
다사621567,묵2동
다사643570,신내1동
다사651537,면목3·8동
다사626531,장안2동
다사651565,망우본동
다사634563,중화1동
다사656550,망우본동
다사655541,면목3·8동
다사646529,면목7동
다사650546,망우3동
다사648579,신내1동
다사640523,중곡4동
다사647571,신내1동
다사649568,망우본동
다사654561,망우본동
다사648569,망우본동
다사655540,면목3·8동
다사650563,망우본동
다사654551,망우본동
다사659577,신내1동
다사623538,휘경2동
다사636566,상봉1동
다사648536,면목3·8동
다사643527,면목7동
다사652565,망우본동
다사656549,망우3동
다사651547,망우3동
다사641529,면목7동
다사653565,망우본동
다사660569,신내1동
다사638555,상봉1동
다사649574,신내1동
다사646532,면목7동
다사625534,장안2동
다사645579,신내1동
다사650542,면목3·8동
다사649563,신내1동
다사661559,망우본동
다사658553,망우본동
다사639527,면목4동
다사627535,면목5동
다사660567,신내1동
다사626528,장안2동
다사661572,신내1동
다사646526,중곡4동
다사652541,면목3·8동
다사659564,망우본동
다사642535,면목7동
다사658548,망우본동
다사644533,면목7동
다사649572,신내1동
다사661564,망우본동
다사637528,면목4동
다사621545,면목2동
다사642575,신내1동
다사622572,묵2동
다사644541,면목3·8동
다사661576,신내1동
다사643525,중곡4동
다사661578,신내1동
