gid,lbl,val
다사714523,84.000000,84.000000
다사708497,247.000000,247.000000
다사680490,386.000000,386.000000
다사690487,484.000000,484.000000
다사685502,365.000000,365.000000
다사687496,401.000000,401.000000
다사675490,491.000000,491.000000
다사677503,357.000000,357.000000
다사685494,646.000000,646.000000
다사689503,382.000000,382.000000
다사677491,488.000000,488.000000
다사686496,333.000000,333.000000
다사673475,326.000000,326.000000
다사693498,38.000000,38.000000
다사669494,332.000000,332.000000
다사676515,47.000000,47.000000
다사708513,308.000000,308.000000
다사675499,493.000000,493.000000
다사706514,290.000000,290.000000
다사715513,275.000000,275.000000
다사678488,984.000000,984.000000
다사685508,804.000000,804.000000
다사671510,91.000000,91.000000
다사716516,322.000000,322.000000
다사682509,309.000000,309.000000
다사671494,406.000000,406.000000
다사680512,19.000000,19.000000
다사707507,903.000000,903.000000
다사688484,242.000000,242.000000
다사687485,21.000000,21.000000
다사710496,0.000000,0.000000
다사703506,384.000000,384.000000
다사712504,666.000000,666.000000
다사668499,586.000000,586.000000
다사687498,70.000000,70.000000
다사687505,716.000000,716.000000
다사682498,500.000000,500.000000
다사672493,486.000000,486.000000
다사680499,337.000000,337.000000
다사689487,766.000000,766.000000
다사684504,545.000000,545.000000
다사688505,220.000000,220.000000
다사699509,416.000000,416.000000
다사682492,549.000000,549.000000
다사708512,262.000000,262.000000
다사703497,62.000000,62.000000
다사676489,421.000000,421.000000
다사712519,729.000000,729.000000
